measurementTime,year,fl,measurementTime_2,date,month,hour,group,gf,gf1,date_corr,sd_all,mean_all,sd_mean_all,cv,cv100,fl_med_day,fl_med_3
6/8/2024 23:00,2024,3.54,2024-06-08T23:00:00Z,2024-06-08,6,23,2,0.05705705705705704,0.05705705705705704,2024-06-08,3.2314676317650393,5.083154574132492,-0.4775398518504162,63.57209061100669,127.14418122201339,3.54,3.42
6/9/2024 0:00,2024,3.73,2024-06-09T00:00:00Z,2024-06-09,6,0,2,-0.025423728813559282,-0.025423728813559282,2024-06-08,3.2314676317650393,5.083154574132492,-0.41874303825020653,63.57209061100669,127.14418122201339,3.54,3.54
6/9/2024 1:00,2024,3.64,2024-06-09T01:00:00Z,2024-06-09,6,1,2,-0.12600536193029496,-0.12600536193029496,2024-06-08,3.2314676317650393,5.083154574132492,-0.44659416048188477,63.57209061100669,127.14418122201339,3.54,3.64
6/9/2024 2:00,2024,3.17,2024-06-09T02:00:00Z,2024-06-09,6,2,2,-0.15934065934065936,-0.15934065934065936,2024-06-08,3.2314676317650393,5.083154574132492,-0.5920389099139824,63.57209061100669,127.14418122201339,3.54,3.64
6/9/2024 3:00,2024,2.59,2024-06-09T03:00:00Z,2024-06-09,6,3,2,0.45425867507886447,0.45425867507886447,2024-06-08,3.2314676317650393,5.083154574132492,-0.7715239198514646,63.57209061100669,127.14418122201339,3.54,3.17
6/9/2024 4:00,2024,4.03,2024-06-09T04:00:00Z,2024-06-09,6,4,2,0.4054054054054054,0.4054054054054054,2024-06-08,3.2314676317650393,5.083154574132492,-0.32590596414461226,63.57209061100669,127.14418122201339,3.54,3.17
6/9/2024 5:00,2024,5.08,2024-06-09T05:00:00Z,2024-06-09,6,5,2,0.4689826302729527,0.4689826302729527,2024-06-08,3.2314676317650393,5.083154574132492,-9.762047750325304e-4,63.57209061100669,127.14418122201339,3.54,4.03
6/9/2024 6:00,2024,6.97,2024-06-09T06:00:00Z,2024-06-09,6,6,2,-0.5374015748031495,-0.5374015748031495,2024-06-08,3.2314676317650393,5.083154574132492,0.5838973620902109,63.57209061100669,127.14418122201339,3.54,5.08
6/9/2024 20:00,2024,3.99,2024-06-09T20:00:00Z,2024-06-09,6,20,2,0.20627802690582958,0.20627802690582958,2024-06-09,3.2314676317650393,5.083154574132492,-0.33828424069202484,63.57209061100669,127.14418122201339,4.58,NA
6/9/2024 21:00,2024,4.91,2024-06-09T21:00:00Z,2024-06-09,6,21,2,0.1278195488721804,0.1278195488721804,2024-06-09,3.2314676317650393,5.083154574132492,-0.0535838801015359,63.57209061100669,127.14418122201339,4.58,NA
6/9/2024 22:00,2024,5.42,2024-06-09T22:00:00Z,2024-06-09,6,22,2,-0.2912423625254582,-0.2912423625254582,2024-06-09,3.2314676317650393,5.083154574132492,0.10423914587797421,63.57209061100669,127.14418122201339,4.58,4.91
6/9/2024 23:00,2024,3.99,2024-06-09T23:00:00Z,2024-06-09,6,23,2,0.10885608856088558,0.10885608856088558,2024-06-09,3.2314676317650393,5.083154574132492,-0.33828424069202484,63.57209061100669,127.14418122201339,4.58,4.91
6/10/2024 0:00,2024,4.58,2024-06-10T00:00:00Z,2024-06-10,6,0,2,-0.06766917293233093,-0.06766917293233093,2024-06-09,3.2314676317650393,5.083154574132492,-0.15570466161768956,63.57209061100669,127.14418122201339,4.58,4.58
6/10/2024 1:00,2024,4.31,2024-06-10T01:00:00Z,2024-06-10,6,1,2,0.21179039301310057,0.21179039301310057,2024-06-09,3.2314676317650393,5.083154574132492,-0.2392580283127245,63.57209061100669,127.14418122201339,4.58,4.31
6/10/2024 2:00,2024,5.28,2024-06-10T02:00:00Z,2024-06-10,6,2,2,-0.22737819025522055,-0.22737819025522055,2024-06-09,3.2314676317650393,5.083154574132492,0.06091517796203034,63.57209061100669,127.14418122201339,4.58,4.58
6/10/2024 3:00,2024,4.3,2024-06-10T03:00:00Z,2024-06-10,6,3,2,-0.12689393939393936,-0.12689393939393936,2024-06-09,3.2314676317650393,5.083154574132492,-0.24235259744957757,63.57209061100669,127.14418122201339,4.58,4.31
6/10/2024 4:00,2024,3.63,2024-06-10T04:00:00Z,2024-06-10,6,4,2,1.4953488372093025,1.4953488372093025,2024-06-09,3.2314676317650393,5.083154574132492,-0.44968872961873796,63.57209061100669,127.14418122201339,4.58,4.3
6/10/2024 5:00,2024,10.06,2024-06-10T05:00:00Z,2024-06-10,6,5,2,-0.7272727272727274,-0.7272727272727274,2024-06-09,3.2314676317650393,5.083154574132492,1.5401192253778315,63.57209061100669,127.14418122201339,4.58,4.3
