measurementTime,year,fl,measurementTime_2,date,month,hour,gf,gf1,gf2,gf3,gf4,gf5,gf6,date_corr,sd_all,mean_all,sd_mean_all,cv,cv100,fl_med_day,fl_med_3
5/31/2022 20:00,2022,1.178,2022-05-31T20:00:00Z,2022-05-31,5,20,0.5184782608695653,0.5184782608695653,0.5184782608695653,0.5184782608695653,0.5184782608695653,0.5184782608695653,0.5184782608695653,2022-05-31,1.2984570525418118,1.7677170542635658,-0.45416754686584165,73.4538963353924,146.9077926707848,1.6155,NA
5/31/2022 21:00,2022,1.655,2022-05-31T21:00:00Z,2022-05-31,5,21,0.2826825127334465,0.2826825127334465,0.2826825127334465,0.2826825127334465,0.2826825127334465,0.2826825127334465,0.2826825127334465,2022-05-31,1.2984570525418118,1.7677170542635658,-0.0868084578099176,73.4538963353924,146.9077926707848,1.6155,NA
5/31/2022 22:00,2022,1.988,2022-05-31T22:00:00Z,2022-05-31,5,22,-0.10211480362537767,-0.10211480362537767,-0.10211480362537767,-0.10211480362537767,-0.10211480362537767,-0.10211480362537767,-0.10211480362537767,2022-05-31,1.2984570525418118,1.7677170542635658,0.1696497741725199,73.4538963353924,146.9077926707848,1.6155,1.655
5/31/2022 23:00,2022,1.819,2022-05-31T23:00:00Z,2022-05-31,5,23,0.041750503018108634,0.041750503018108634,0.041750503018108634,0.041750503018108634,0.041750503018108634,0.041750503018108634,0.041750503018108634,2022-05-31,1.2984570525418118,1.7677170542635658,0.03949529607933085,73.4538963353924,146.9077926707848,1.6155,1.819
6/1/2022 0:00,2022,1.902,2022-06-01T00:00:00Z,2022-06-01,6,0,-0.11599780098955462,-0.11599780098955462,-0.11599780098955462,-0.11599780098955462,-0.11599780098955462,-0.11599780098955462,-0.11599780098955462,2022-05-31,1.809820552307698,3.34219452887538,-0.7957664791898795,54.15066468069072,108.30132936138143,1.6155,1.902
6/1/2022 1:00,2022,1.691,2022-06-01T01:00:00Z,2022-06-01,6,1,-0.18769716088328076,-0.18769716088328076,-0.18769716088328076,-0.18769716088328076,-0.18769716088328076,-0.18769716088328076,-0.18769716088328076,2022-05-31,1.809820552307698,3.34219452887538,-0.9123526234520575,54.15066468069072,108.30132936138143,1.6155,1.819
6/1/2022 2:00,2022,1.334,2022-06-01T02:00:00Z,2022-06-01,6,2,0.14311058545239502,0.14311058545239502,0.14311058545239502,0.14311058545239502,0.14311058545239502,0.14311058545239502,0.14311058545239502,2022-05-31,1.809820552307698,3.34219452887538,-1.109609749052046,54.15066468069072,108.30132936138143,1.6155,1.691
6/1/2022 3:00,2022,1.576,2022-06-01T03:00:00Z,2022-06-01,6,3,-0.44527736131934037,-0.44527736131934037,-0.44527736131934037,-0.44527736131934037,-0.44527736131934037,-0.44527736131934037,-0.44527736131934037,2022-05-31,1.809820552307698,3.34219452887538,-0.9758948347797849,54.15066468069072,108.30132936138143,1.6155,1.576
6/1/2022 4:00,2022,0.982,2022-06-01T04:00:00Z,2022-06-01,6,4,0.08439086294416244,0.08439086294416244,0.08439086294416244,0.08439086294416244,0.08439086294416244,0.08439086294416244,0.08439086294416244,2022-05-31,1.809820552307698,3.34219452887538,-1.3041041698116984,54.15066468069072,108.30132936138143,1.6155,1.334
6/1/2022 5:00,2022,1.115,2022-06-01T05:00:00Z,2022-06-01,6,5,17.764765784114054,0.3431771894093686,0.3431771894093686,0.3431771894093686,0.3431771894093686,0.3431771894093686,0.3431771894093686,2022-05-31,1.809820552307698,3.34219452887538,-1.2306162210587615,54.15066468069072,108.30132936138143,1.6155,1.115
