"","date","sal","temp","dr","fwc","rho21_dep"
"1",2012-06-07,29.2769167380979,10.1691516666273,2.97068775370212,0.0605910652920964,3
"2",2012-06-16,28.5014158547438,9.80147495673214,2.75140784234031,0.170415807560138,1
"3",2012-06-28,24.2940371959353,11.897962483934,9.89214116252288,1.5093676975945,11
"4",2012-07-07,27.4783334507129,10.9310093939366,4.20772696728045,0.296432989690722,5
"5",2012-07-18,29.510732565458,9.80294224315825,3.49665074367738,0.05013058419244,3
"6",2012-07-19,29.8634156570066,9.51751710691848,4.32607084523625,0.0716082474226804,3
"7",2012-07-28,28.3096004639272,11.7480090934082,6.85927216239179,0.321041237113402,5
"8",2012-08-06,27.6803977518822,11.9813822531794,6.57553520704448,0.353690721649485,5
"9",2012-08-18,27.6447275246743,11.5860340538513,5.86763275960834,0.300182130584193,5
"10",2012-08-29,28.4586115820943,11.7700970618381,4.4401940540622,0.194333333333333,4
"11",2012-09-08,28.4232427934262,11.2550174233669,4.94443483656039,0.179027491408935,4
"12",2012-09-19,29.6359300389821,10.3842402729291,4.01838374433316,0.0868591065292097,3
"13",2012-10-18,30.6849361574346,9.17600402172619,0.898493871394521,0,1
"14",2012-11-06,30.0609583800792,8.6955211961012,1.31317841915086,0,1
"15",2012-11-21,30.9083021154154,8.27591488898539,0.527639773441251,0,1
"16",2012-11-25,30.8193777461788,8.25637181712788,0.362544177207837,0,1
"17",2012-12-10,30.4430819690136,7.9673427227223,0.770930954304617,0,1
"18",2013-01-07,30.8195787052053,7.41461465570122,0.420247996937519,0,1
"19",2013-01-21,30.8032005445436,6.5836719823284,0.360842781921519,0,1
"20",2013-02-07,30.9780348976191,7.00677732953823,0.573895920323253,0,1
"21",2013-02-18,30.4726229459125,7.00810563763319,0.759576118127711,0,1
"22",2013-03-16,30.4414742968014,7.11170958560774,1.07116502225517,0,1
"23",2013-04-02,30.3528513661045,7.7100779667487,1.15285758345112,0,1
"24",2013-04-06,30.3481288289812,8.01723500088636,1.12765165255826,0,1
"25",2013-04-11,30.5212550303312,7.98237173667894,1.13035406848064,0,1
"26",2013-04-14,31.1672378210909,7.77328359692225,0.360370139582301,0,1
"27",2013-04-17,29.5306275090838,8.41495181527012,1.83152756768368,0,1
"28",2013-04-21,30.2218260808112,8.61279418100724,1.23679910919884,0,1
"29",2013-04-24,29.1970355250548,9.07483220727241,2.46856550473331,0.0208144329896909,1
"30",2013-04-27,30.9387474079337,8.32208211415118,0.862710798862508,0,1
"31",2013-05-08,29.8811000513407,8.88870027300819,2.40959743556436,0.000656357388316209,1
"32",2013-05-18,28.5577848616837,10.2788346175979,4.64774052442669,0.18127147766323,4
"33",2013-05-29,28.9991913634425,10.3614180415954,2.64571210487054,0.0397835051546394,2
"34",2013-06-08,30.2648313124873,10.1607788535725,1.96492016134175,0,1
"35",2013-06-19,29.7517829177729,10.2776395028549,4.82025841824009,0.115254295532646,4
"36",2013-06-29,26.293679989357,12.3122824804237,6.94771064244082,0.565388316151203,7
"37",2013-07-10,30.4673980112229,10.1388571751254,1.94942254695536,0,1
"38",2013-07-19,28.6969489875512,12.244599424634,3.91549336195271,0.0964604810996565,3
"39",2013-07-31,30.2003234649732,11.711625135929,2.48520399146298,0,1
"40",2013-08-10,30.0822600368907,12.1411524563902,3.98390579077352,0.0300996563573884,3
"41",2013-08-22,28.3843572217939,14.1193032551243,4.77892519271643,0.161910652920962,5
"42",2013-08-31,25.9629014316994,13.5968983542196,5.49830894444608,0.680759450171822,9
"43",2013-09-11,29.8119701462166,12.310406722165,3.20128006530388,0.0169312714776633,2
"44",2013-09-25,29.2483805563316,11.6285411942846,2.35001427662826,0.0468865979381444,1
"45",2013-11-07,31.0402317163281,9.50608489236793,0.505805229641737,0,1
"46",2013-11-28,30.399473860258,7.57372397603529,1.23061412819004,0,1
"47",2014-01-08,28.6572595798128,6.4369235903043,2.21309350020056,0.0951718213058423,1
"48",2014-01-30,28.522215113989,6.44867543377245,2.51722482765808,0.11939175257732,1
"49",2014-02-20,31.5141935803837,6.43240777241317,0.256882382350796,0,1
"50",2014-03-12,31.6466255788626,6.58339716746307,0.191596736893189,0,1
"51",2014-03-19,30.7542670215852,6.72755100015178,1.10996578322613,0,1
"52",2014-03-26,29.642059289291,7.12569529406239,1.88165810939131,0.00426460481099664,1
"53",2014-04-01,30.0718101675115,7.71393892685635,1.59794098255099,0,1
"54",2014-04-07,31.2670139777598,7.30278763514972,0.28881881042139,0,1
"55",2014-04-21,31.2673154162996,8.01923800287869,0.27783682755603,0,1
"56",2014-04-28,30.6719743002238,8.18060708644051,0.407911715512682,0,1
"57",2014-05-07,28.5284448438112,9.55655545306285,2.51771317151974,0.101061855670103,1
"58",2014-05-12,29.9002916383737,10.2794089018195,1.98954597813758,0,1
"59",2014-05-19,29.1317238414347,10.928110242117,2.47532654186625,0.01779381443299,1
"60",2014-05-30,29.8354823523199,10.3183231837949,2.58597935310331,0.0204467353951891,2
"61",2014-06-09,30.0072018404842,10.8222228286373,2.15447762616418,0,1
"62",2014-06-19,29.6573321753068,9.8739248906599,2.54189889739689,0.0145807560137458,2
"63",2014-06-29,29.9820819621687,11.2937818693538,2.29793903189284,0.00641237113402069,1
"64",2014-07-11,28.9545784595543,13.1564396453925,4.02620117906361,0.116298969072165,4
"65",2014-07-20,30.9574365974004,11.3360992956993,1.28632529489641,0,1
"66",2014-08-01,29.5656948592121,11.893245871043,4.6211305164037,0.119673539518901,4
"67",2014-08-09,30.1523947371474,11.1954874950518,2.21404455044774,0,1
