"","year_month","year","month","par","mm_mean_val","n","mean_val","sd_val","n_full","anom","anom_std","day"
"1",2012-06-15,2012,6,"dr",5.20474558618844,3,3.21252751834585,2.01677255111669,21,1.99221806784259,0.987824862421642,15
"2",2012-06-15,2012,6,"fwc",0.580124856815579,3,0.151304105752432,0.355131231113612,21,0.428820751063147,1.20749940724295,15
"3",2012-06-15,2012,6,"rho21_dep",5,3,2.41269841269841,2.52521673856316,21,2.58730158730159,1.0245859485209,15
"4",2012-06-15,2012,6,"sal",27.357456596259,3,29.3635293496802,1.58042023847375,21,-2.00607275342116,-1.26932869156274,15
"5",2012-06-15,2012,6,"temp",10.6228630357645,3,10.8507581604289,1.11645475869228,21,-0.227895124664474,-0.20412392252366,15
"6",2012-07-15,2012,7,"dr",4.72243017964647,4,3.8449547331535,1.55051482610912,20,0.877475446492965,0.565925221556839,15
"7",2012-07-15,2012,7,"fwc",0.184803264604811,4,0.115857965944404,0.157306590344956,20,0.0689452986604076,0.438286142425554,15
"8",2012-07-15,2012,7,"rho21_dep",4,4,2.99166666666667,1.71719460456336,20,1.00833333333333,0.58719805586026,15
"9",2012-07-15,2012,7,"sal",28.7905205342762,4,29.3647149066379,1.25445301993989,20,-0.574194372361777,-0.457724891434589,15
"10",2012-07-15,2012,7,"temp",10.4998694593554,4,11.5627512128048,1.29475016412177,20,-1.06288175344936,-0.820916484818763,15
"11",2012-08-15,2012,8,"dr",5.62778734023834,3,4.10294746196701,1.29198329255818,20,1.52483987827133,1.18023188616633,15
"12",2012-08-15,2012,8,"fwc",0.282735395189004,3,0.125912004682276,0.166006700884355,20,0.156823390506727,0.94468108619287,15
"13",2012-08-15,2012,8,"rho21_dep",4.66666666666667,3,3.275,1.95958806388408,20,1.39166666666667,0.710183273880663,15
"14",2012-08-15,2012,8,"sal",27.9279122862169,3,29.1393757750534,1.11451879149647,20,-1.21146348883645,-1.08698345696784,15
"15",2012-08-15,2012,8,"temp",11.7791711229563,3,12.5355190869661,0.922023363122196,20,-0.75634796400986,-0.820313230945343,15
"16",2012-09-15,2012,9,"dr",4.48140929044678,2,3.09101105688436,1.5715415744816,19,1.39039823356242,0.884735253676674,15
"17",2012-09-15,2012,9,"fwc",0.132943298969072,2,0.0996038296395419,0.186888933939578,19,0.0333394693295304,0.178391885633577,15
"18",2012-09-15,2012,9,"rho21_dep",3.5,2,2.47368421052632,1.71167302993402,19,1.02631578947368,0.599598037431977,15
"19",2012-09-15,2012,9,"sal",29.0295864162041,2,29.5593463706774,1.19050739979763,19,-0.529759954473306,-0.444986696061997,15
"20",2012-09-15,2012,9,"temp",10.819628848148,2,11.7985788221923,0.933667207339164,19,-0.978949974044268,-1.04849990055253,15
"21",2012-10-15,2012,10,"dr",0.898493871394521,1,2.10825791842751,1.25797056063918,12,-1.20976404703299,-0.961679140105078,15
"22",2012-10-15,2012,10,"fwc",0,1,0.102168012853575,0.17877381665444,12,-0.102168012853575,-0.571493156914919,15
"23",2012-10-15,2012,10,"rho21_dep",1,1,2.33333333333333,2.49848438906955,12,-1.33333333333333,-0.533656859801263,15
"24",2012-10-15,2012,10,"sal",30.6849361574346,1,29.4318142097154,1.45576271405073,12,1.25312194771916,0.860800964074901,15
"25",2012-10-15,2012,10,"temp",9.17600402172619,1,10.7630176037381,0.94532652951632,12,-1.58701358201189,-1.67879936980494,15
"26",2012-11-15,2012,11,"dr",0.734454123266649,3,1.38963981921256,0.844027922823392,15,-0.655185695945912,-0.776260687862345,15
"27",2012-11-15,2012,11,"fwc",0,3,0.0484233451496533,0.0790783227862763,15,-0.0484233451496533,-0.61234663866767,15
"28",2012-11-15,2012,11,"rho21_dep",1,3,1.3,0.797316929278619,15,-0.3,-0.376261921682045,15
"29",2012-11-15,2012,11,"sal",30.5962127472245,3,29.769099103187,0.970215510039242,15,0.827113644037457,0.85250507282037,15
"30",2012-11-15,2012,11,"temp",8.40926930073816,3,8.85875356772136,0.634126936428886,15,-0.449484266983198,-0.708823803502953,15
"31",2012-12-15,2012,12,"dr",0.770930954304617,1,0.95722607583563,0.618692999566757,3,-0.186295121531013,-0.301110763595947,15
"32",2012-12-15,2012,12,"fwc",0,1,0.0270011454753724,0.0467673558259036,3,-0.0270011454753724,-0.577350269189626,15
"33",2012-12-15,2012,12,"rho21_dep",1,1,1,0,3,0,NA,15
"34",2012-12-15,2012,12,"sal",30.4430819690136,1,29.9281412101327,0.889120440781924,3,0.51494075888084,0.579157485602269,15
"35",2012-12-15,2012,12,"temp",7.9673427227223,1,7.90649459939081,0.925293652901836,3,0.0608481233314935,0.0657608783337767,15
"36",2013-01-15,2013,1,"dr",0.390545389429519,2,0.795675678321932,0.682124495145449,15,-0.405130288892413,-0.593924264229842,15
"37",2013-01-15,2013,1,"fwc",0,2,0.0143042382588775,0.0380252713634106,15,-0.0143042382588775,-0.37617715129948,15
"38",2013-01-15,2013,1,"rho21_dep",1,2,1,0,15,0,NA,15
"39",2013-01-15,2013,1,"sal",30.8113896248745,2,30.3035930400243,0.8000235255704,15,0.507796584850151,0.634727065667354,15
"40",2013-01-15,2013,1,"temp",6.99914331901481,2,7.27368609569284,0.599129282080095,15,-0.274542776678036,-0.4582362853721,15
"41",2013-02-15,2013,2,"dr",0.666736019225482,2,0.640041329133343,0.486478483966721,14,0.0266946900921384,0.0548733211682278,15
"42",2013-02-15,2013,2,"fwc",0,2,0.0151082474226804,0.0565298855702806,14,-0.0151082474226804,-0.267261241912424,15
